proneural	mesenchymal
HSPA1A	GFAP
PDGFRA	SEC61G
JUN	LTF
HIST1H4C	CHI3L1
FOS	S100A6
ITM2A	FTL
APOD	AQP1
HLA-A	SPARCL1
JUNB	LGALS1
PHLDA1	AQP4
OLIG2	MT1X
IER2	CRYAB
HLA-C	C1orf61
CENPF	S100A10
HSPA1B	TMSB4X
DNAJB1	CST3
RIC3	GABARAP
IFI6	RPL17
SCG3	ID3
TM4SF1	IFITM3
CCND1	ANXA1
HLA-B	COX7A1
TUBB	CLU
BCAN	MBP
LIMA1	FAM107A
SERPINE2	C9orf16
HSP90AB1	HBB
ISG15	RPL41
EGR1	TSC22D4
ARC	NMB
EPN2	APOC1
MKI67	CD99
PLLP	GJA1
PTMA	EMP3
CD9	SOD2
TRAF4	EGFR-AS1
DNAJA1	UQCRQ
REV3L	PTGDS
SMC3	IGFBP7
H2AFZ	RAB13
LRRC4C	PMP2
FOSB	METRN
HSP90B1	HOPX
MARCKS	EEF1G
TSPAN7	TPT1
LMO1	FN1
CCL4	AHCYL1
GGH	RPS29
PTN	RPS19
CADM2	RPL36A
